mass_eV,A_unit_saved,A_unit_reconstructed,scaling_ratio,high_mass_flag,residual_all,residual_high,residual_low
1e-35,-195.4023529707972,-504.97452010587386,2.5842806518370947,0.0,1.4250877359050729,nan,1.2067400407170026
1.7012542798525996e-35,-565.5464092138668,-868.7758175156481,1.536170689728687,0.0,0.44154184541436203,nan,0.31174970024650417
2.89426612471674e-35,-1636.841689175934,-1660.8489806989285,1.0146668377777455,0.0,-0.04783712149252084,nan,-0.1335670383477371
4.923882631706751e-35,-4737.453435648046,-4967.238097181503,1.0485038353737453,0.0,-0.016084499024223597,nan,-0.10467332767445658
8.376776400682855e-35,-13711.444315491368,-16497.54045906472,1.2031949428132516,0.0,0.12907756270403503,nan,0.02741877326935871
1.4251026703029962e-34,-39684.51261272217,-42916.45897751158,1.0814409993220708,0.0,0.014823719976602812,nan,-0.07654799288902547
2.4244620170823406e-34,-114857.09003181722,-116558.17955856604,1.0148104877659498,0.0,-0.047702320411837196,nan,-0.13344437435588552
4.124626382901331e-34,-332423.1709979325,-345246.40038898756,1.0385750167551793,0.0,-0.025401697698753667,nan,-0.11315163346025836
7.017038286703837e-34,-962089.1741456378,-1114854.8345845004,1.1587853439620321,0.0,0.08740361624082982,nan,-0.01050297486101548
1.1937766417144455e-33,-2784274.4947711197,-2852052.983216363,1.0243433212395299,0.0,-0.03875671400923142,nan,-0.12530420377778584
2.0309176209047304e-33,-8056189.936164844,-9076477.86693361,1.1266464592882321,0.0,0.05724450213195986,nan,-0.03794665193348978
3.4551072945922324e-33,-23297989.099123534,-25699843.36662517,1.103092771538467,0.0,0.03514173273781984,nan,-0.05805935363521986
5.878016072274876e-33,-67273536.76029076,-71596390.80156295,1.0642578679440535,0.0,-0.0013009223449086393,nan,-0.09122082031967471
1e-32,-193396254.40762478,-199625671.0320676,1.0322106373958668,0.0,-0.031374028265847564,nan,-0.11858623312594241
1.7012542798525856e-32,-548858730.8604189,-559510301.1308426,1.0194067611054045,0.0,-0.04338917969375955,nan,-0.12951957601440334
2.89426612471674e-32,-1499842672.2617881,-1571084834.8959134,1.0474997571089846,0.0,-0.017026725590842395,nan,-0.10553071896022348
4.9238826317067517e-32,-3654765863.9638386,-3660746238.709027,1.001636322261887,0.0,-0.06006495106186949,nan,-0.14469391046961289
8.376776400682924e-32,-6040875794.899543,-5920126564.195402,0.9800113038566209,0.0,-0.08035785805943263,nan,-0.16315970440813854
1.4251026703029963e-31,456820772.20893806,494817097.80971855,1.0831755644933807,1.0,0.016451435109276602,0.10598738253525952,nan
2.4244620170823406e-31,-324525738.507442,-352318668.2839432,1.085641681009113,1.0,0.018765637676000146,0.1085054357850459,nan
4.124626382901364e-31,4211369702.025738,4111896822.895047,0.9763799224079419,1.0,-0.0837655446856218,-0.0030573896402382728,nan
7.0170382867038365e-31,-4840490436.70322,-4740327852.911552,0.9793073480670097,1.0,-0.08101844983795792,-6.831201665535858e-05,nan
1.1937766417144357e-30,4675447428.029609,4625583006.657169,0.9893348343361752,1.0,-0.07160866148698186,0.010170354415438343,nan
2.0309176209047306e-30,-4015721579.3411074,-3796099529.101725,0.9453094429232274,1.0,-0.11292206787264802,-0.03478221745749732,nan
3.4551072945922325e-30,-3750917803.223794,-3637788874.3259745,0.9698396672940717,1.0,-0.08990291697723507,-0.00973538337607871,nan
5.878016072274924e-30,5947875631.44551,5513467467.126161,0.926964148002238,1.0,-0.1301372839107462,-0.053513866671715205,nan
1e-29,5847092972.245209,5395869078.25078,0.9228293621913858,1.0,-0.13401736495123384,-0.057735731608658525,nan
1.7012542798525858e-29,3012473655.0639086,2816534500.720372,0.9349573882532827,1.0,-0.12263643105671451,-0.0453522877430369,nan
2.89426612471674e-29,-1429564348.450455,-1355400723.779821,0.9481215205520325,1.0,-0.11028321556178133,-0.031910917108672776,nan
4.923882631706752e-29,-1683875599.3636212,-1678468490.05994,0.9967888902804194,1.0,-0.06461377893028786,0.017781393745800234,nan
8.376776400682924e-29,-6996192547.614638,-6758793258.778834,0.9660673591785656,1.0,-0.09344284912062117,-0.013587136790343068,nan
1.4251026703029963e-28,-905708374.6202744,-901110524.626054,0.9949234763384538,1.0,-0.06636428248717952,0.015876693943987163,nan
2.4244620170823407e-28,-175776521.27101412,-217584223.6543117,1.237845771898273,1.0,0.1615938842549829,0.2639149645924965,nan
4.124626382901365e-28,5601892846.67588,5444686311.968003,0.9719368900815084,1.0,-0.08793488410988448,-0.0075939928044077565,nan
7.017038286703837e-28,6999751049.4014,6936579904.285019,0.9909752297373801,1.0,-0.0700693152218348,0.011845296756803014,nan
1.1937766417144358e-27,10127134845.424482,9377447743.544182,0.9259724380762032,1.0,-0.1310679040341809,-0.05452646213756884,nan
2.0309176209047306e-27,11050048439.7749,10151924989.354269,0.9187222159870525,1.0,-0.13787150899809553,-0.061929374845380525,nan
3.455107294592232e-27,-4336727160.012378,-4075145198.2214875,0.9396821722604879,1.0,-0.11820269598907451,-0.04052799917111238,nan
5.878016072274924e-27,13935403275.476799,12840437136.467073,0.9214255865177133,1.0,-0.13533466737648125,-0.059169070980302996,nan
1e-26,-2632126036.501822,-2421641798.402621,0.920032614251656,1.0,-0.13664183188915535,-0.06059137942316528,nan
