figure,tau,delta_y,A_model,z_re,Reff_Mpc,L_peak_surrogate,D_peak_surrogate
fig16_like,0.068,19.0,0.07,9.593704306315757,34.138777641498244,279.4099078820883,2.5e-05
fig16_like,0.11,14.7,0.08626187364603412,13.499959947601226,34.138777641498244,300.07929447575367,3.080781201644076e-05
fig16_like,0.11,19.0,0.11190145597315358,13.494860847362638,34.138777641498244,300.05790122261413,3.996480570469771e-05
fig18_like,0.068,19.0,0.07,9.593704306315757,34.138777641498244,279.4099078820883,2.5e-05
fig18_like,0.068,19.0,0.07,9.593704306315757,19.345957235089386,493.0597437027803,2.5e-05
fig18_like,0.068,19.0,0.07,9.593704306315757,15.620209266732582,610.6648478988924,2.5e-05
