mass_eV,mass_over_mres,g_GeV_inv,Aeff_over_Aunit,A_tau_unit_physical,A_tau_eff_physical,max_frac_unit,L_peak_frac_unit,max_frac_eff,L_peak_frac_eff
5.119814835838772e-30,0.5000000000000006,1.4e-12,0.048235464094754786,0.10641505314000131,0.005132979474875956,0.00328400719509173,289,7.640768168829164e-06,289
5.361951987503819e-30,0.523647061410316,1.4e-12,0.03572312163724762,-0.11134892604388791,-0.003977731229242697,0.0035955889142079366,289,4.588479940950257e-06,289
5.615540803359103e-30,0.5484124898473133,1.4e-12,-0.1349722893604781,-0.08160637817312301,0.011014599688443361,0.0019312841427165837,289,3.518320536195615e-05,289
5.881122879817432e-30,0.5743491774985201,1.4e-12,0.14470920744700225,0.16005598610707783,0.023161574896703636,0.007429195899418001,289,0.00015557296909609293,289
6.159265427618688e-30,0.6015125180410583,1.4e-12,-0.01453045822854018,-0.15010662095967653,0.002181117985681894,0.00653427886258863,289,1.3796098469431625e-06,289
6.450562483237351e-30,0.629960524947439,1.4e-12,-0.10763169369486898,0.14465920653450498,-0.01556991540786463,0.0060686225251866815,289,7.030245216066837e-05,289
6.755636177581676e-30,0.6597539553864469,1.4e-12,0.04408964905319486,-0.16054953934912417,-0.007078572845554984,0.007475084306191177,289,1.4530795105978366e-05,289
7.07513806469572e-30,0.6909564399838903,1.4e-12,0.056411102384612805,0.12125009791299474,0.006839851687514274,0.004263459712140496,289,1.3567234670897238e-05,289
7.409750513300298e-30,0.7236346187201883,1.4e-12,0.036216528967455065,0.07119581142304972,0.0025784651667643483,0.001469964530664335,289,1.928059823670276e-06,289
7.760188164146554e-30,0.7578582832552012,1.4e-12,0.07871792129335071,-0.12372783446256012,-0.009739597935020534,0.004439487025108653,289,2.7509330774767894e-05,289
8.12719945629284e-30,0.7937005259840986,1.4e-12,0.04637278754250014,-0.16055387732772758,-0.007445330842443342,0.007475488258690684,289,1.6075554766637123e-05,289
8.511568225566517e-30,0.8312378961427896,1.4e-12,0.032894461613140864,-0.15203637117397956,-0.005001154575383707,0.006703366396854318,289,7.253348147203556e-06,289
