template_name,L_peak,sigma_log,L,D_shape_unit_peak,C_shape_unit_peak
Lpeak_20_siglog_0.3,20.0,0.3,62,0.0008156672244361617,1.3120809831349834e-06
Lpeak_20_siglog_0.3,20.0,0.3,63,0.000666101280247347,1.0380054010772922e-06
Lpeak_20_siglog_0.3,20.0,0.3,64,0.0005441850810797485,8.219268523621653e-07
Lpeak_20_siglog_0.3,20.0,0.3,65,0.0004447798517673055,6.514298903388924e-07
Lpeak_20_siglog_0.3,20.0,0.3,66,0.00036370354882315104,5.167835355347572e-07
Lpeak_20_siglog_0.3,20.0,0.3,67,0.00029755326078724427,4.1035607468871574e-07
Lpeak_20_siglog_0.3,20.0,0.3,68,0.00024356026523482865,3.2615820117993144e-07
Lpeak_20_siglog_0.3,20.0,0.3,69,0.00019947185229446493,2.5948625497566847e-07
Lpeak_20_siglog_0.3,20.0,0.3,70,0.0001634550499834476,2.0664353489744524e-07
Lpeak_20_siglog_0.3,20.0,0.3,71,0.00013401824494006591,1.647225092921395e-07
Lpeak_20_siglog_0.3,20.0,0.3,72,0.00010994740699616405,1.314345380899528e-07
Lpeak_20_siglog_0.3,20.0,0.3,73,9.025421899942418e-05,1.0497667210813599e-07
Lpeak_20_siglog_0.3,20.0,0.3,74,7.41339034176809e-05,8.392739688609787e-08
Lpeak_20_siglog_0.3,20.0,0.3,75,6.0930941152131835e-05,6.716498143854365e-08
Lpeak_20_siglog_0.3,20.0,0.3,76,5.0111209960141634e-05,5.380348908861129e-08
Lpeak_20_siglog_0.3,20.0,0.3,77,4.12393421402186e-05,4.3142595506688887e-08
Lpeak_20_siglog_0.3,20.0,0.3,78,3.3960323977859155e-05,3.4628206531117044e-08
Lpeak_20_siglog_0.3,20.0,0.3,79,2.7984541557124366e-05,2.7821528534791193e-08
Lpeak_20_siglog_0.3,20.0,0.3,80,2.3075626147435515e-05,2.2374758512891343e-08
Lpeak_20_siglog_0.3,20.0,0.3,81,1.9040573495813797e-05,1.8011962003789566e-08
Lpeak_20_siglog_0.3,20.0,0.3,82,1.572170997428074e-05,1.4514019558351378e-08
Lpeak_20_siglog_0.3,20.0,0.3,83,1.2990158761859905e-05,1.1706766303850878e-08
Lpeak_20_siglog_0.3,20.0,0.3,84,1.074052446336324e-05,9.45163942571524e-09
Lpeak_20_siglog_0.3,20.0,0.3,85,8.886567559026631e-06,7.638296951865238e-09
Lpeak_20_siglog_0.3,20.0,0.3,86,7.357683113542397e-06,6.178787280659307e-09
Lpeak_20_siglog_0.3,20.0,0.3,87,6.096033108385221e-06,5.002939610591212e-09
Lpeak_20_siglog_0.3,20.0,0.3,88,5.0542101140970334e-06,4.054716385124226e-09
Lpeak_20_siglog_0.3,20.0,0.3,89,4.19333302534048e-06,3.2893244011148853e-09
Lpeak_20_siglog_0.3,20.0,0.3,90,3.481494247177868e-06,2.6709247253844e-09
Lpeak_20_siglog_0.3,20.0,0.3,91,2.892492864411429e-06,2.1708156553740667e-09
Lpeak_20_siglog_0.3,20.0,0.3,92,2.40480061180274e-06,1.7659896997166263e-09
Lpeak_20_siglog_0.3,20.0,0.3,93,2.000717431468471e-06,1.4379865441799105e-09
Lpeak_20_siglog_0.3,20.0,0.3,94,1.6656814928802932e-06,1.1719804571675718e-09
Lpeak_20_siglog_0.3,20.0,0.3,95,1.3877051161129512e-06,9.560535522213637e-10
Lpeak_20_siglog_0.3,20.0,0.3,96,1.1569133685155564e-06,7.806165247784135e-10
Lpeak_20_siglog_0.3,20.0,0.3,97,9.651664324910045e-07,6.379465124774267e-10
Lpeak_20_siglog_0.3,20.0,0.3,98,8.057503569617146e-07,5.218180585566431e-10
Lpeak_20_siglog_0.3,20.0,0.3,99,6.731236608792579e-07,4.272081511062109e-10
Lpeak_20_siglog_0.3,20.0,0.3,100,5.627095782079177e-07,3.5006025287180307e-10
Lpeak_20_siglog_0.5,20.0,0.5,2,2.4821602362195383e-05,2.5993121210466692e-05
Lpeak_20_siglog_0.5,20.0,0.5,3,0.0007479843713637458,0.0003916437010127206
Lpeak_20_siglog_0.5,20.0,0.5,4,0.00562473868505792,0.0017670637731340272
Lpeak_20_siglog_0.5,20.0,0.5,5,0.02141584712068372,0.00448532453231614
Lpeak_20_siglog_0.5,20.0,0.5,6,0.055072706679631454,0.008238857653239796
Lpeak_20_siglog_0.5,20.0,0.5,7,0.11033291474042221,0.012379324085630694
Lpeak_20_siglog_0.5,20.0,0.5,8,0.1865273483622218,0.01627758186967611
Lpeak_20_siglog_0.5,20.0,0.5,9,0.2793669629931033,0.01950349330210722
Lpeak_20_siglog_0.5,20.0,0.5,10,0.3825461314703953,0.021850983932483435
Lpeak_20_siglog_0.5,20.0,0.5,11,0.4892810750944069,0.023289724712986435
Lpeak_20_siglog_0.5,20.0,0.5,12,0.593400555027211,0.023900292619353742
Lpeak_20_siglog_0.5,20.0,0.5,13,0.6899419319031963,0.02381886268868825
Lpeak_20_siglog_0.5,20.0,0.5,14,0.7753552006035848,0.023198573353703452
Lpeak_20_siglog_0.5,20.0,0.5,15,0.8474512617673546,0.022186222152031018
Lpeak_20_siglog_0.5,20.0,0.5,16,0.9052120177290729,0.02091034871205036
Lpeak_20_siglog_0.5,20.0,0.5,17,0.9485461785780306,0.01947676932164322
Lpeak_20_siglog_0.5,20.0,0.5,18,0.9780429668583509,0.01796849473437053
Lpeak_20_siglog_0.5,20.0,0.5,19,0.9947518159942224,0.016447921038276605
Lpeak_20_siglog_0.5,20.0,0.5,20,1.0,0.014959965017094254
Lpeak_20_siglog_0.5,20.0,0.5,21,0.9952503551673174,0.013535373178685181
Lpeak_20_siglog_0.5,20.0,0.5,22,0.9819959835093975,0.012193799872125719
Lpeak_20_siglog_0.5,20.0,0.5,23,0.9616864653128836,0.010946475124940907
Lpeak_20_siglog_0.5,20.0,0.5,24,0.9356794771021996,0.009798412571263364
Lpeak_20_siglog_0.5,20.0,0.5,25,0.9052120177290728,0.008750176691811842
Lpeak_20_siglog_0.5,20.0,0.5,26,0.8713861890814144,0.00779926054147515
Lpeak_20_siglog_0.5,20.0,0.5,27,0.8351653641675559,0.00694113590635301
Lpeak_20_siglog_0.5,20.0,0.5,28,0.7973774434687337,0.006170037237782228
Lpeak_20_siglog_0.5,20.0,0.5,29,0.75872267310242,0.005479534657311662
Lpeak_20_siglog_0.5,20.0,0.5,30,0.7197841469760982,0.004862943200667755
Lpeak_20_siglog_0.5,20.0,0.5,31,0.6810396379833357,0.004313607103814314
Lpeak_20_siglog_0.5,20.0,0.5,32,0.642873811890137,0.0038250902360214413
Lpeak_20_siglog_0.5,20.0,0.5,33,0.6055901886880033,0.0033912971263249333
Lpeak_20_siglog_0.5,20.0,0.5,34,0.5694224476069093,0.003006543492757958
Lpeak_20_siglog_0.5,20.0,0.5,35,0.5345448401791751,0.002665590703049566
Lpeak_20_siglog_0.5,20.0,0.5,36,0.5010815950066387,0.0023636550416244926
Lpeak_20_siglog_0.5,20.0,0.5,37,0.46911528003769093,0.00209639988257913
Lpeak_20_siglog_0.5,20.0,0.5,38,0.43869414270128865,0.0018599167285873696
Lpeak_20_siglog_0.5,20.0,0.5,39,0.40983848261184996,0.0016506994437586872
Lpeak_20_siglog_0.5,20.0,0.5,40,0.3825461314703953,0.0014656147759592548
Lpeak_20_siglog_0.5,20.0,0.5,41,0.35679712456613233,0.001301871341880283
Lpeak_20_siglog_0.5,20.0,0.5,42,0.33255765114685776,0.0011569885644939595
Lpeak_20_siglog_0.5,20.0,0.5,43,0.3097833692360655,0.0010287665507360652
Lpeak_20_siglog_0.5,20.0,0.5,44,0.28842216593360614,0.0009152575329590641
Lpeak_20_siglog_0.5,20.0,0.5,45,0.2684164380545752,0.0008147392366135201
Lpeak_20_siglog_0.5,20.0,0.5,46,0.2497049609788537,0.0007256903524293179
Lpeak_20_siglog_0.5,20.0,0.5,47,0.23222440637153188,0.0006467681640434888
Lpeak_20_siglog_0.5,20.0,0.5,48,0.21591056236558623,0.0005767882963946994
Lpeak_20_siglog_0.5,20.0,0.5,49,0.20069930310502387,0.0005147064948696605
Lpeak_20_siglog_0.5,20.0,0.5,50,0.1865273483622217,0.0004596023116143842
Lpeak_20_siglog_0.5,20.0,0.5,51,0.17333284833160154,0.00041066455727326793
Lpeak_20_siglog_0.5,20.0,0.5,52,0.16105582368103658,0.00036717836900885165
Lpeak_20_siglog_0.5,20.0,0.5,53,0.14963848650015368,0.00032851374555078843
Lpeak_20_siglog_0.5,20.0,0.5,54,0.13902546388999112,0.0002941154047264035
Lpeak_20_siglog_0.5,20.0,0.5,55,0.12916394254964628,0.0002634938266380927
Lpeak_20_siglog_0.5,20.0,0.5,56,0.12000374978584451,0.00023621735509425865
Lpeak_20_siglog_0.5,20.0,0.5,57,0.11149738385270327,0.00021190524017309972
Lpeak_20_siglog_0.5,20.0,0.5,58,0.10360000437428578,0.0001902215152858718
Lpeak_20_siglog_0.5,20.0,0.5,59,0.09626939176736803,0.0001708696123965656
Lpeak_20_siglog_0.5,20.0,0.5,60,0.08946588302508399,0.00015358762888444133
Lpeak_20_siglog_0.5,20.0,0.5,61,0.08315228990646727,0.00013814416874633858
Lpeak_20_siglog_0.5,20.0,0.5,62,0.0772938044689917,0.0001243346893434666
Lpeak_20_siglog_0.5,20.0,0.5,63,0.07185789595143147,0.00011197829267035557
Lpeak_20_siglog_0.5,20.0,0.5,64,0.0668142022367288,0.00010091490716460093
Lpeak_20_siglog_0.5,20.0,0.5,65,0.06213441847640522,9.100281241051213e-05
Lpeak_20_siglog_0.5,20.0,0.5,66,0.057792184919727374,8.211646475744836e-05
Lpeak_20_siglog_0.5,20.0,0.5,67,0.0537629755453813,7.414458692207972e-05
Lpeak_20_siglog_0.5,20.0,0.5,68,0.050023988726259926,6.698848912432942e-05
Lpeak_20_siglog_0.5,20.0,0.5,69,0.04655404085665827,6.0560593271302984e-05
Lpeak_20_siglog_0.5,20.0,0.5,70,0.04333346362507636,5.4783135202873406e-05
Lpeak_20_siglog_0.5,20.0,0.5,71,0.04034400541590656,4.958702309506999e-05
Lpeak_20_siglog_0.5,20.0,0.5,72,0.03756873716187141,4.49108328281511e-05
Lpeak_20_siglog_0.5,20.0,0.5,73,0.03499196283969459,4.069992350680176e-05
Lpeak_20_siglog_0.5,20.0,0.5,74,0.03259913469866199,3.690565840818041e-05
Lpeak_20_siglog_0.5,20.0,0.5,75,0.03037677323085752,3.348471846379827e-05
Lpeak_20_siglog_0.5,20.0,0.5,76,0.028312391829070298,3.0398496984197857e-05
Lpeak_20_siglog_0.5,20.0,0.5,77,0.026394426030423055,2.76125657385602e-05
Lpeak_20_siglog_0.5,20.0,0.5,78,0.02461216720795344,2.5096203729123705e-05
Lpeak_20_siglog_0.5,20.0,0.5,79,0.02295570054642641,2.2821981074259623e-05
Lpeak_20_siglog_0.5,20.0,0.5,80,0.02141584712068372,2.0765391353315462e-05
Lpeak_20_siglog_0.5,20.0,0.5,81,0.01998410988327492,1.8904526587722873e-05
Lpeak_20_siglog_0.5,20.0,0.5,82,0.018652623361673427,1.7219789751163855e-05
Lpeak_20_siglog_0.5,20.0,0.5,83,0.01741410686297891,1.5693640329765387e-05
Lpeak_20_siglog_0.5,20.0,0.5,84,0.016261820984770647,1.4310369002730476e-05
Lpeak_20_siglog_0.5,20.0,0.5,85,0.015189527233971526,1.3055897994458833e-05
Lpeak_20_siglog_0.5,20.0,0.5,86,0.014191450560621724,1.1917604069775986e-05
Lpeak_20_siglog_0.5,20.0,0.5,87,0.013262244619858962,1.0884161511980063e-05
Lpeak_20_siglog_0.5,20.0,0.5,88,0.012396959582766667,9.945402745676546e-06
Lpeak_20_siglog_0.5,20.0,0.5,89,0.011591012324769456,9.092194548605362e-06
Lpeak_20_siglog_0.5,20.0,0.5,90,0.01084015882867067,8.316328043931212e-06
Lpeak_20_siglog_0.5,20.0,0.5,91,0.010140468648043076,7.610420881187231e-06
Lpeak_20_siglog_0.5,20.0,0.5,92,0.009488301285339019,6.967830204083135e-06
Lpeak_20_siglog_0.5,20.0,0.5,93,0.00888028434766258,6.3825751700766845e-06
Lpeak_20_siglog_0.5,20.0,0.5,94,0.008313293351546484,5.849267932890325e-06
Lpeak_20_siglog_0.5,20.0,0.5,95,0.00778443305623214,5.3630521275922e-06
Lpeak_20_siglog_0.5,20.0,0.5,96,0.007291020212812297,4.919548010684235e-06
Lpeak_20_siglog_0.5,20.0,0.5,97,0.00683056762412499,4.5148035067955725e-06
Lpeak_20_siglog_0.5,20.0,0.5,98,0.006400769417463368,4.145250500767911e-06
Lpeak_20_siglog_0.5,20.0,0.5,99,0.0059994874389746366,3.8076657906236286e-06
Lpeak_20_siglog_0.5,20.0,0.5,100,0.00562473868505792,3.4991361844238164e-06
Lpeak_20_siglog_0.8,20.0,0.8,2,0.015889323094416118,0.016639260234644106
Lpeak_20_siglog_0.8,20.0,0.8,3,0.06009858780139619,0.031467546987997905
Lpeak_20_siglog_0.8,20.0,0.8,4,0.13217025587018122,0.041522510486484455
Lpeak_20_siglog_0.8,20.0,0.8,5,0.2228145052945952,0.04666616086311629
Lpeak_20_siglog_0.8,20.0,0.8,6,0.32223913985750247,0.0482068625940678
Lpeak_20_siglog_0.8,20.0,0.8,7,0.42272377698795627,0.04742949686725334
Lpeak_20_siglog_0.8,20.0,0.8,8,0.5189598931187869,0.04528779410360348
Lpeak_20_siglog_0.8,20.0,0.8,9,0.6076620683966301,0.0424228153320007
Lpeak_20_siglog_0.8,20.0,0.8,10,0.6870460783852775,0.039243980227870276
Lpeak_20_siglog_0.8,20.0,0.8,11,0.7563690630103594,0.036003083208423346
Lpeak_20_siglog_0.8,20.0,0.8,12,0.8155752581711023,0.03284878512205043
Lpeak_20_siglog_0.8,20.0,0.8,13,0.865039917580815,0.029863769781690204
Lpeak_20_siglog_0.8,20.0,0.8,14,0.9053910823215132,0.027089237836637883
Lpeak_20_siglog_0.8,20.0,0.8,15,0.9373889218001759,0.02454078458569908
Lpeak_20_siglog_0.8,20.0,0.8,16,0.961846104149597,0.022218593049120126
Lpeak_20_siglog_0.8,20.0,0.8,17,0.979576748974151,0.020113928877154026
Lpeak_20_siglog_0.8,20.0,0.8,18,0.991364968018098,0.018213245032467466
Lpeak_20_siglog_0.8,20.0,0.8,19,0.9979466406816645,0.016500746500211213
Lpeak_20_siglog_0.8,20.0,0.8,20,1.0,0.014959965017094254
Lpeak_20_siglog_0.8,20.0,0.8,21,0.9981419781701595,0.013574699159562583
Lpeak_20_siglog_0.8,20.0,0.8,22,0.9929282247876914,0.01232954947247022
Lpeak_20_siglog_0.8,20.0,0.8,23,0.98485538172882,0.011210197217708813
Lpeak_20_siglog_0.8,20.0,0.8,24,0.9743646625952754,0.010203522886422716
Lpeak_20_siglog_0.8,20.0,0.8,25,0.961846104149597,0.009297626629785652
Lpeak_20_siglog_0.8,20.0,0.8,26,0.9476430762863632,0.008481790674320429
Lpeak_20_siglog_0.8,20.0,0.8,27,0.9320567866621895,0.007746409401339798
Lpeak_20_siglog_0.8,20.0,0.8,28,0.915350617618364,0.007082903388592937
Lpeak_20_siglog_0.8,20.0,0.8,29,0.8977542013763473,0.0064836275948811604
Lpeak_20_siglog_0.8,20.0,0.8,30,0.8794671849944625,0.0059417798869933315
Lpeak_20_siglog_0.8,20.0,0.8,31,0.8606626663957431,0.005451313528161027
Lpeak_20_siglog_0.8,20.0,0.8,32,0.8414903018640207,0.005006855587884593
Lpeak_20_siglog_0.8,20.0,0.8,33,0.82207909718566,0.0046036321789450965
Lpeak_20_siglog_0.8,20.0,0.8,34,0.8025399014590285,0.004237400770817413
Lpeak_20_siglog_0.8,20.0,0.8,35,0.7829676261409846,0.003904389432195487
Lpeak_20_siglog_0.8,20.0,0.8,36,0.763443213278521,0.0036012426280312123
Lpeak_20_siglog_0.8,20.0,0.8,37,0.744035376859903,0.0033249730781706745
Lpeak_20_siglog_0.8,20.0,0.8,38,0.7248021403430557,0.0030729191355032414
Lpeak_20_siglog_0.8,20.0,0.8,39,0.7057921920389589,0.002842707135218756
Lpeak_20_siglog_0.8,20.0,0.8,40,0.6870460783852775,0.002632218186015689
Lpeak_20_siglog_0.8,20.0,0.8,41,0.6685972533994365,0.002439558907653871
Lpeak_20_siglog_0.8,20.0,0.8,42,0.6504730008533368,0.002263035659844242
Lpeak_20_siglog_0.8,20.0,0.8,43,0.6326952440276397,0.002101131850526886
Lpeak_20_siglog_0.8,20.0,0.8,44,0.6152812563194419,0.0019524879542875324
Lpeak_20_siglog_0.8,20.0,0.8,45,0.598244284512824,0.0018158839123454782
Lpeak_20_siglog_0.8,20.0,0.8,46,0.5815940951850751,0.0016902236233160358
Lpeak_20_siglog_0.8,20.0,0.8,47,0.5653374535126573,0.0015745212683994018
Lpeak_20_siglog_0.8,20.0,0.8,48,0.5494785426556819,0.0014678892456737379
Lpeak_20_siglog_0.8,20.0,0.8,49,0.5340193309305568,0.0013695275158582642
Lpeak_20_siglog_0.8,20.0,0.8,50,0.5189598931187868,0.0012787141864546861
Lpeak_20_siglog_0.8,20.0,0.8,51,0.5042986914962622,0.0011947971828202132
Lpeak_20_siglog_0.8,20.0,0.8,52,0.490032821492405,0.0011171868737434093
Lpeak_20_siglog_0.8,20.0,0.8,53,0.47615822629311866,0.001045349535757378
Lpeak_20_siglog_0.8,20.0,0.8,54,0.4626698841770889,0.0009788015549952746
Lpeak_20_siglog_0.8,20.0,0.8,55,0.44956197191367936,0.0009171042781151662
Lpeak_20_siglog_0.8,20.0,0.8,56,0.43682800714523085,0.0008598594349183752
Lpeak_20_siglog_0.8,20.0,0.8,57,0.42446097232048957,0.0008067050649592442
Lpeak_20_siglog_0.8,20.0,0.8,58,0.41245342243328564,0.0007573118888745632
Lpeak_20_siglog_0.8,20.0,0.8,59,0.40079757854623554,0.0007113800725070236
Lpeak_20_siglog_0.8,20.0,0.8,60,0.38948540883852695,0.0006686363382991986
Lpeak_20_siglog_0.8,20.0,0.8,61,0.3785086987056204,0.0006288313840155524
Lpeak_20_siglog_0.8,20.0,0.8,62,0.36785911125338877,0.0005917375737172128
Lpeak_20_siglog_0.8,20.0,0.8,63,0.35752823936658856,0.0005571468701611943
Lpeak_20_siglog_0.8,20.0,0.8,64,0.34750765038883263,0.0005248689815037533
Lpeak_20_siglog_0.8,20.0,0.8,65,0.3377889243259473,0.0004947296984272237
Lpeak_20_siglog_0.8,20.0,0.8,66,0.32836368637458596,0.0004665694006422714
Lpeak_20_siglog_0.8,20.0,0.8,67,0.319223634481353,0.00044024171419615975
Lpeak_20_siglog_0.8,20.0,0.8,68,0.31036056255280997,0.00041561230318836454
Lpeak_20_siglog_0.8,20.0,0.8,69,0.3017663798621341,0.00039255778139762627
Lpeak_20_siglog_0.8,20.0,0.8,70,0.2934331271326233,0.0003709647309938548
Lpeak_20_siglog_0.8,20.0,0.8,71,0.28535298972057005,0.00035072881697418884
Lpeak_20_siglog_0.8,20.0,0.8,72,0.2775183082692953,0.0003317539872509458
Lpeak_20_siglog_0.8,20.0,0.8,73,0.26992158716149356,0.0003139517494527379
Lpeak_20_siglog_0.8,20.0,0.8,74,0.26255550105773867,0.00029724051649822667
Lpeak_20_siglog_0.8,20.0,0.8,75,0.25541289977440607,0.00028154501388187375
Lpeak_20_siglog_0.8,20.0,0.8,76,0.24848681172378065,0.0002667957423873477
