case_name,mass_eV,A_unit,phi_amp_max,A_tau_eff,L,Claa_limit,patchy_power_if_phi_amp_max,patchy_budget_fraction,template_scale_limit,genuine_shape_toy
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,41,3.648771955388842e-07,1.4016274024439998e+17,3.841367505508113e+23,2.603239597789345e-24,7.317073170731708e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,42,3.4790616318823846e-07,1.4383318316739474e+17,4.1342522319609556e+23,2.4188171013592963e-24,7.142857142857143e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,43,3.3209224667968216e-07,1.4758498477536938e+17,4.444096068214495e+23,2.2501763792918413e-24,6.976744186046512e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,44,3.1733259127169627e-07,1.5141950715176096e+17,4.7716342826607885e+23,2.0957180302644103e-24,6.818181818181819e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,45,3.0353552208597034e-07,1.553381227019593e+17,5.117625826276863e+23,1.9540310955627494e-24,6.666666666666667e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,46,2.9061911689082266e-07,1.5934221386545792e+17,5.482853831852991e+23,1.8238676985887092e-24,6.521739130434784e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,47,2.7850998702037175e-07,1.6343317281546272e+17,5.868126115115158e+23,1.7041215208790306e-24,6.382978723404255e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,48,2.6714223244811166e-07,1.6761240114581123e+17,6.27427567740969e+23,1.5938094712676798e-24,6.25e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,49,2.564565431501872e-07,1.7188130954507024e+17,6.702161209605494e+23,1.4920560230136012e-24,6.122448979591837e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,50,2.463994238109642e-07,1.762413174576751e+17,7.15266759685632e+23,1.3980797883568803e-24,6e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,51,2.3692252289515786e-07,1.8069385273199254e+17,7.626706423852854e+23,1.311181976104989e-24,5.88235294117647e-10
nphi_1_no_cut,2.0309176209047306e-27,11050048439.7749,18124.866292836112,200280650500282.38,52,2.2798205033307642e-07,1.8524035125517994e+17,8.125216480181144e+23,1.2307364393787894e-24,5.769230769230769e-10
