mass_eV,m_res_fid_eV,mass_over_mres,z_rei,delta_y,R_eff_Mpc,phi_unit_at_zrei,dphi_dx_unit_at_zrei,A_unit_thinshell,A_eff_visibility,Aeff_over_Aunit,lambda_osc_Mpc,N_osc_patchy,g_norm_z
5.119814835838772e-30,1.0239629671677533e-29,0.5000000000000006,7.7,19.0,34.139,0.004754080624618899,1.0279366360380042,3896984788.9518523,187972869.86529264,0.048235464094754786,68.27799999999993,13.530132415691316,0.04952111656215679
5.361951987503819e-30,1.0239629671677533e-29,0.523647061410316,7.7,19.0,34.139,0.004402174580211417,-1.0833637348738923,-4107113072.6286693,-146718899.87144378,0.03572312163724762,65.1946750317951,14.17002815993842,0.04952111656215679
5.615540803359103e-30,1.0239629671677533e-29,0.5484124898473133,7.7,19.0,34.139,-0.004989732343815824,-0.7908031091070884,-2997993824.9153123,404646090.037396,-0.1349722893604781,62.2505880737779,14.84018721210622,0.04952111656215679
5.881122879817432e-30,1.0239629671677533e-29,0.5743491774985201,7.7,19.0,34.139,0.0007102998521401045,1.5558272358010898,5898257596.424159,853532182.0968004,0.14470920744700225,59.43945136073251,15.542040848796725,0.04952111656215679
6.159265427618688e-30,1.0239629671677533e-29,0.6015125180410583,7.7,19.0,34.139,0.0019502394412937792,-1.4646443974036019,-5552576625.641706,80681482.7196554,-0.01453045822854018,56.75526107283727,16.277088037582843,0.04952111656215679
6.450562483237351e-30,1.0239629671677533e-29,0.629960524947439,7.7,19.0,34.139,-0.002251316284786952,1.4137633241196517,5359682665.37063,-576871722.9408706,-0.10763169369486898,54.19228451314216,17.046898638394506,0.04952111656215679
6.755636177581676e-30,1.0239629671677533e-29,0.6597539553864469,7.7,19.0,34.139,0.0004936455450139973,-1.5690602581835769,-5948424975.548979,-262263969.5912137,0.04408964905319486,51.7450478640985,17.853116756309436,0.04952111656215679
7.07513806469572e-30,1.0239629671677533e-29,0.6909564399838903,7.7,19.0,34.139,0.003051831411083545,1.183611981983939,4487161686.921365,253125737.337233,0.056411102384612805,49.4083244969769,18.697464252913395,0.04952111656215679
7.409750513300298e-30,1.0239629671677533e-29,0.7236346187201883,7.7,19.0,34.139,-0.003983874732118457,0.6987382567643357,2648969073.195556,95936465.17327945,0.036216528967455065,47.17712380921996,19.58174442372487,0.04952111656215679
7.760188164146554e-30,1.0239629671677533e-29,0.7578582832552012,7.7,19.0,34.139,-0.0027159226783826053,-1.211796518263099,-4594011375.23181,-361631025.8562555,0.07871792129335071,45.04668056587571,20.50784584954272,0.04952111656215679
