case_name,mass_eV,A_unit,A_unit_abs,Rtau_max_unit,sqrt_Rtau_max_unit,spectrum_ratio_at_peak,sqrt_spectrum_ratio_at_peak,phi_needed,phi_amp_max,ratio_phi_needed_over_phi_amp_max,log10_ratio,L_peak,nphi,Lcut
nphi_1_Lcut_800,1e-35,-195.4023529707972,195.4023529707972,47853.98649102064,218.7555404807399,1.2533101145711985,1.1195133382730187,0.004571312789620722,113801412.34471868,4.01692096383975e-11,-10.396106713278522,340,1.0,800.0
nphi_1_Lcut_800,1.7012542798525996e-35,-565.5464092138668,565.5464092138668,400862.14233576553,633.1367485273347,1.2533101145711985,1.1195133382730187,0.0015794376212184538,66892655.150037825,2.361152532629826e-11,-10.626875956191208,340,1.0,800.0
nphi_1_Lcut_800,2.89426612471674e-35,-1636.841689175934,1636.841689175934,3357932.0211134264,1832.4661036737969,1.2533101145711985,1.1195133382730187,0.0005457126863057179,39319612.53915709,1.3878892772970762e-11,-10.857645179541796,340,1.0,800.0
nphi_1_Lcut_800,4.923882631706751e-35,-4737.453435648046,4737.453435648046,28128621.759373367,5303.642310655326,1.2533101145711985,1.1195133382730187,0.00018854966859113817,23112135.777665466,8.158037422631626e-12,-11.088414306814323,340,1.0,800.0
nphi_1_Lcut_800,8.376776400682855e-35,-13711.444315491368,13711.444315491368,235626945.32510316,15350.144798180347,1.2533101145711985,1.1195133382730187,6.514596527575057e-05,13585358.508276984,4.79530703853416e-12,-11.31918358017798,340,1.0,800.0
nphi_1_Lcut_800,1.4251026703029962e-34,-39684.51261272217,39684.51261272217,1973788645.4620242,44427.34119280631,1.2533101145711985,1.1195133382730187,2.2508661854424015e-05,7985507.894912078,2.8186888236332825e-12,-11.549952866532928,340,1.0,800.0
nphi_1_Lcut_800,2.4244620170823406e-34,-114857.09003181722,114857.09003181722,16533856444.903984,128584.04428584436,1.2533101145711985,1.1195133382730187,7.777014679807273e-06,4693914.871736833,1.6568290845312322e-12,-11.780722290297271,340,1.0,800.0
nphi_1_Lcut_800,4.124626382901331e-34,-332423.1709979325,332423.1709979325,138497240525.99,372152.17388319795,1.2533101145711985,1.1195133382730187,2.6870728432553926e-06,2759126.7522270894,9.738852486883624e-13,-12.011492212317853,340,1.0,800.0
nphi_1_Lcut_800,7.017038286703837e-34,-962089.1741456378,962089.1741456378,1160083367375.6978,1077071.6630641147,1.2533101145711987,1.119513338273019,9.284433286037284e-07,1621884.5945383578,5.72447220801178e-13,-12.242264548763545,340,1.0,800.0
nphi_1_Lcut_800,1.1937766417144455e-33,-2784274.4947711197,2784274.4947711197,9715891196538.273,3117032.434309639,1.2533101145711985,1.1195133382730187,3.208179642254766e-07,953446.4400904034,3.364824186611441e-13,-12.473037622904862,340,1.0,800.0
nphi_1_Lcut_800,2.0309176209047304e-33,-8056189.936164844,8056189.936164844,81342579065088.89,9019012.089197403,1.2533101145711985,1.1195133382730187,1.1087688874458416e-07,560624.4730209175,1.97773900499073e-13,-12.70383102121766,340,1.0,800.0
nphi_1_Lcut_800,3.4551072945922324e-33,-23297989.099123534,23297989.099123534,680292088007389.0,26082409.551408187,1.2533101145711985,1.1195133382730187,3.834001601842074e-08,329843.41139739245,1.1623702245860242e-13,-12.93465552350667,340,1.0,800.0
nphi_1_Lcut_800,5.878016072274876e-33,-67273536.76029076,67273536.76029076,5672141615972575.0,75313621.71594575,1.2533101145711985,1.1195133382730187,1.3277810537005092e-08,194396.59546763648,6.830269071875596e-14,-13.165562187368387,340,1.0,800.0
nphi_1_Lcut_800,1e-32,-193396254.40762478,193396254.40762478,4.687644429696267e+16,216509686.38137802,1.2533101145711985,1.1195133382730187,4.6187309986608055e-09,115134.92058832839,4.011581347396197e-14,-13.396684396689185,340,1.0,800.0
nphi_1_Lcut_800,1.7012542798525856e-32,-548858730.8604189,548858730.8604189,3.775545415165638e+17,614454670.0258399,1.2533101145711985,1.1195133382730187,1.6274593534425357e-09,69178.36019616321,2.352555551805055e-14,-13.628460112615882,340,1.0,800.0
nphi_1_Lcut_800,2.89426612471674e-32,-1499842672.2617881,1499842672.2617881,2.8193562474703396e+18,1679093876.9081197,1.2533101145711985,1.1195133382730187,5.955593155049783e-10,43467.17798717008,1.370135681871884e-14,-13.863236423376076,340,1.0,800.0
nphi_1_Lcut_800,4.9238826317067517e-32,-3654765863.9638386,3654765863.9638386,1.6740856138610106e+19,4091559132.97243,1.2533101145711985,1.1195133382730187,2.444056085958414e-10,30760.275110640345,7.945494886399718e-15,-14.099879047513989,340,1.0,800.0
