mass_eV,lambda_osc_Mpc,N_osc_full,N_osc_patchy
1e-33,349570.71736139926,0.014345171219361595,0.002642699560339606
1.1097524964120789e-33,314998.8114391183,0.01591958957214524,0.0029327424343539815
1.231550603292821e-33,283846.00391307124,0.017666804269543583,0.0032546182378579143
1.3667163564620101e-33,255774.1521922849,0.01960578014174957,0.0036118207143311025
1.5167168884709118e-33,230478.5553708849,0.021757563456412592,0.004008227054321734
1.683180353330955e-33,207684.6469064418,0.02414551036159809,0.004448139979719976
1.8679135990207922e-33,187145.01438645407,0.026795540400927197,0.0049363344468846175
2.0729217795953612e-33,168636.7140344467,0.029736417852639196,0.0054781094755550555
2.3004301197729216e-33,151958.85080652044,0.033000063946319054,0.006079345666115886
2.5529080682395375e-33,136930.39781195886,0.03662190334618582,0.0067465690295240585
2.8330961018393182e-33,123388.23138913258,0.04064124866179091,0.007487021822730617
3.144035471591513e-33,111185.36050881332,0.04510172715972653,0.008308741158467017
3.489101213406752e-33,100189.33128628824,0.05005175430800214,0.009220646242650407
3.872038781812557e-33,90280.78928428506,0.055545059293109426,0.010232635186313949
4.29700470432087e-33,81352.18400154114,0.06164126821388512,0.01135569244288598
4.7686116977144545e-33,73306.60148507055,0.06840655128236443,0.012602008036980292
5.2919787359584585e-33,66056.71239495008,0.0759143410565448,0.013985109878843958
5.872786613189441e-33,59523.824103588806,0.08424612950097721,0.015520010600644058
6.51733960488242e-33,53637.026540633364,0.09349235252676474,0.017223370508406673
7.232633896483578e-33,48332.422512268524,0.10375337161201532,0.019113678418334484
8.026433522257141e-33,43552.434140524136,0.11514056315760224,0.02121145234036402
8.907354638610458e-33,39245.177894469925,0.12777752740244172,0.023539462187244807
9.884959046625667e-33,35363.90142969068,0.14180143002022255,0.026122976926492663
1.0969857978923818e-32,31866.476123302873,0.15736449095974206,0.028990038857889887
1.217382727739657e-32,28714.939796333027,0.17463563668918838,0.03217176799362622
1.3509935211980306e-32,25875.084660021752,0.19380233377833964,0.03570269984491691
1.4992684327860472e-32,23316.0860134834,0.21507262372099764,0.039621160281547364
1.6638168860761273e-32,21010.167662489082,0.2386773810842709,0.04396968153318993
1.8464249428955387e-32,18932.300427723167,0.26487281949536456,0.04879546384790122
2.0490746898158544e-32,17059.930470021787,0.29394327266668674,0.054150887818793715
2.2739657523579322e-32,15372.73448375028,0.32620428064538937,0.06009408293983628
2.5235391704347656e-32,13852.399101107429,0.3620060147865243,0.06668955856207728
2.800503894183625e-32,12482.422112942739,0.40173707862553,0.07400890409888419
3.1078661877820014e-32,11247.933348471426,0.44582872590597394,0.08213156608045821
3.4489622604057667e-32,10135.533269658703,0.4947595415463711,0.09114571049202212
3.827494478516315e-32,9133.147528325278,0.5490606363547765,0.10114917975577334
4.247571552536894e-32,8229.89590728885,0.609321411876313,0.11225055474400267
4.7137531341167097e-32,7415.974222988321,0.6761959579470653,0.12457033335079667
5.23109930805628e-32,6682.547907722465,0.7504101523955129,0.13824223841493147
5.805225516094907e-32,6021.656116411315,0.8327695399538821,0.1534146691905627
6.442363508721371e-32,5426.125317023276,0.9241680758997518,0.17025231212045885
7.149428986597562e-32,4889.491426751848,1.0255978293340886,0.1889379283956061
7.934096665797524e-32,4405.929648782027,1.1381597514183142,0.20967433770395047
8.804883581643482e-32,3970.191248072696,1.2630756254522153,0.23268661970050647
9.771241535346502e-32,3577.5465798983855,1.4017013285028324,0.25822455709432296
1.0843659686896087e-31,3223.733752764619,1.5555415485301327,0.2865653468703259
1.2033778407775856e-31,2904.912368467061,1.7262661167540116,0.3180166090745349
1.3354515629299029e-31,2617.6218371743976,1.91572813253935,0.35291972582096937
1.48202070579886e-31,2358.7438150735466,2.125984077532376,0.39165354676288394
1.6446761779946628e-31,2125.4683568629744,2.3593161373738663,0.4346385012487519
1.8251834943190387e-31,1915.2634157028763,2.6182569732759298,0.4823411617976029
2.0255019392306583e-31,1725.8473595644937,2.9056172123412733,0.535279308427188
2.24780583354873e-31,1555.1642056623434,3.224515955013634,0.5940275488048031
2.4945081352303164e-31,1401.3613041559543,3.5784146307969285,0.6592235552236726
2.7682866303920607e-31,1262.7692288926423,3.9711545697243666,0.7315749861031107
3.0721129988617716e-31,1137.8836569192492,4.406998697389851,0.811867167140559
3.4092850697468217e-31,1025.3490400770706,4.89067780611313,0.900971615489231
