figure,tau,delta_y,A_model,A_paper,z_re,Reff_Mpc,L_peak_surrogate,D_peak_surrogate
fig16_like_corrected,0.084,19.0,0.07,0.07,11.16629576531798,34.138777641498244,288.92505391651014,2.5e-05
fig16_like_corrected,0.11,14.7,0.07054044935549972,0.07,13.499959947601226,34.138777641498244,300.07929447575367,2.5193017626964183e-05
fig16_like_corrected,0.11,19.0,0.09150715900597445,0.09,13.494860847362638,34.138777641498244,300.05790122261413,3.268112821641944e-05
fig18_like_corrected,0.084,19.0,0.07,0.07,11.16629576531798,34.138777641498244,288.92505391651014,2.9e-05
fig18_like_corrected,0.084,19.0,0.07,0.07,11.16629576531798,34.08588841710554,289.37336325268683,2.9e-05
fig18_like_corrected,0.084,19.0,0.07,0.07,11.16629576531798,40.96653316979789,240.77087826375848,2.9e-05
