mass_eV,m_res_fid_eV,mass_over_mres,g_GeV_inv,phi_unit,dphi_dx_unit,rho_unit_GeV4,rho_dm_GeV4,phi_amp_max_nat_GeV,A_unit_old_mixed,A_eff_old_mixed,Aeff_over_Aunit,A_unit_nat,A_eff_nat,A_tau_unit_physical,A_tau_eff_physical,lambda_osc_Mpc,N_osc_patchy
5.119814835838772e-30,1.0239629671677533e-29,0.5000000000000006,1.4e-12,0.004754080624618899,1.0279366360380042,5.240693340636355e-82,7.167748933117039e-62,11694913623.434715,3896984788.9518523,187972869.86529264,0.048235464094754786,12.99894205127686,0.6270100025841631,0.10641505314000131,0.005132979474875956,68.27799999999993,13.530132415691316
5.119814835838772e-30,1.0239629671677533e-29,0.5000000000000006,4e-12,0.004754080624618899,1.0279366360380042,5.240693340636355e-82,7.167748933117039e-62,11694913623.434715,3896984788.9518523,187972869.86529264,0.048235464094754786,12.99894205127686,0.6270100025841631,0.30404300897143227,0.01466565564250273,68.27799999999993,13.530132415691316
5.361951987503819e-30,1.0239629671677533e-29,0.523647061410316,1.4e-12,0.004402174580211417,-1.0833637348738923,5.316657853348262e-82,7.167748933117039e-62,11611064457.494686,-4107113072.6286693,-146718899.87144378,0.03572312163724762,-13.699854559478842,-0.48940157084086405,-0.11134892604388791,-0.003977731229242697,65.1946750317951,14.17002815993842
5.361951987503819e-30,1.0239629671677533e-29,0.523647061410316,4e-12,0.004402174580211417,-1.0833637348738923,5.316657853348262e-82,7.167748933117039e-62,11611064457.494686,-4107113072.6286693,-146718899.87144378,0.03572312163724762,-13.699854559478842,-0.48940157084086405,-0.3181397886968226,-0.011364946369264849,65.1946750317951,14.17002815993842
5.615540803359103e-30,1.0239629671677533e-29,0.5484124898473133,1.4e-12,-0.004989732343815824,-0.7908031091070884,5.274128656859914e-82,7.167748933117039e-62,11657784757.67836,-2997993824.9153123,404646090.037396,-0.1349722893604781,-10.00023097617523,1.3497540689879393,-0.08160637817312301,0.011014599688443361,62.2505880737779,14.84018721210622
5.615540803359103e-30,1.0239629671677533e-29,0.5484124898473133,4e-12,-0.004989732343815824,-0.7908031091070884,5.274128656859914e-82,7.167748933117039e-62,11657784757.67836,-2997993824.9153123,404646090.037396,-0.1349722893604781,-10.00023097617523,1.3497540689879393,-0.23316108049463716,0.03147028482412389,62.2505880737779,14.84018721210622
5.881122879817432e-30,1.0239629671677533e-29,0.5743491774985201,1.4e-12,0.0007102998521401045,1.5558272358010898,5.306902240494494e-82,7.167748933117039e-62,11621731795.54027,5898257596.424159,853532182.0968004,0.14470920744700225,19.674469583968516,2.847076900436236,0.16005598610707783,0.023161574896703636,59.43945136073251,15.542040848796725
5.881122879817432e-30,1.0239629671677533e-29,0.5743491774985201,4e-12,0.0007102998521401045,1.5558272358010898,5.306902240494494e-82,7.167748933117039e-62,11621731795.54027,5898257596.424159,853532182.0968004,0.14470920744700225,19.674469583968516,2.847076900436236,0.45730281744879364,0.06617592827629608,59.43945136073251,15.542040848796725
6.159265427618688e-30,1.0239629671677533e-29,0.6015125180410583,1.4e-12,0.0019502394412937792,-1.4646443974036019,5.347205594743504e-82,7.167748933117039e-62,11577850864.44955,-5552576625.641706,80681482.7196554,-0.01453045822854018,-18.521401981505843,0.269124457826272,-0.15010662095967653,0.002181117985681894,56.75526107283727,16.277088037582843
6.159265427618688e-30,1.0239629671677533e-29,0.6015125180410583,4e-12,0.0019502394412937792,-1.4646443974036019,5.347205594743504e-82,7.167748933117039e-62,11577850864.44955,-5552576625.641706,80681482.7196554,-0.01453045822854018,-18.521401981505843,0.269124457826272,-0.4288760598847901,0.00623176567337684,56.75526107283727,16.277088037582843
