tau,delta_y,b,Rbar_Mpc,siglnR,A_model,z_re,Reff_Mpc,L_peak_surrogate,siglnL_surrogate,D_peak_surrogate,L,D_shape,C_shape
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,2,3.2094813076867695e-55,3.360960966020839e-55
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,3,6.4809419982917296e-49,3.3934132950291418e-49
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,4,1.0626796797380217e-44,3.338506674984123e-45
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,5,1.4049489987404902e-41,2.942518302074307e-42
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,6,3.9990073696791216e-39,5.9825010353501765e-40
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,7,4.070963328782555e-37,4.567610173834544e-38
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,8,1.9907607992832305e-35,1.7372665283563173e-36
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,9,5.632252579826135e-34,3.932054072876432e-35
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,10,1.0440468554385733e-32,5.9635816928169935e-34
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,11,1.3834784112666884e-31,6.585341838235617e-33
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,12,1.3960965466396928e-30,5.623034172596588e-32
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,13,1.1248537806048659e-29,3.883332278583463e-31
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,14,7.503416763122947e-29,2.2450170456999576e-30
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,15,4.26304989048397e-28,1.1160638514859344e-29
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,16,2.110012183695195e-27,4.874116746530722e-29
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,17,9.265697880109007e-27,1.9025521823877763e-28
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,18,3.6643075312162993e-26,6.732024339510454e-28
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,19,1.3213162366600701e-25,2.184756516926415e-27
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,20,4.3896369082114555e-25,6.566881458458915e-27
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,21,1.3553957913608439e-24,1.8433339657340915e-26
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,22,3.918915166351359e-24,4.8662589314826293e-26
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,23,1.0678642315572778e-23,1.2155052264100193e-25
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,24,2.757578470803688e-23,2.887729421858081e-25
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,25,6.781092466603704e-23,6.554901623506241e-25
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,26,1.5946592530897028e-22,1.4272848417337884e-24
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,27,3.5995521286885475e-22,2.99162077346599e-24
0.068,14.7,1.0,5.0,0.409,0.05387661218976823,9.638258663672683,9.762630791707863,978.106830035424,0.409,1.924164721063151e-05,28,7.824743800365821e-22,6.054718630406783e-24
